37	81	1
10.000	0.100	0.000
-1.300E+2	-1.100E+0	0.000E+0	8.649E-2
-1.300E+2	-1.000E+0	0.000E+0	7.953E-2
-1.300E+2	-9.000E-1	0.000E+0	7.669E-2
-1.300E+2	-8.000E-1	0.000E+0	7.163E-2
-1.300E+2	-7.000E-1	0.000E+0	6.846E-2
-1.300E+2	-6.000E-1	0.000E+0	7.155E-2
-1.300E+2	-5.000E-1	0.000E+0	7.333E-2
-1.300E+2	-4.000E-1	0.000E+0	7.069E-2
-1.300E+2	-3.000E-1	0.000E+0	6.363E-2
-1.300E+2	-2.000E-1	0.000E+0	5.884E-2
-1.300E+2	-1.000E-1	0.000E+0	5.315E-2
-1.300E+2	0.000E+0	0.000E+0	4.877E-2
-1.300E+2	1.000E-1	0.000E+0	4.836E-2
-1.300E+2	2.000E-1	0.000E+0	5.110E-2
-1.300E+2	3.000E-1	0.000E+0	5.588E-2
-1.300E+2	4.000E-1	0.000E+0	5.714E-2
-1.300E+2	5.000E-1	0.000E+0	6.082E-2
-1.300E+2	6.000E-1	0.000E+0	6.596E-2
-1.300E+2	7.000E-1	0.000E+0	7.252E-2
-1.300E+2	8.000E-1	0.000E+0	7.988E-2
-1.300E+2	9.000E-1	0.000E+0	8.756E-2
-1.300E+2	1.000E+0	0.000E+0	9.413E-2
-1.300E+2	1.100E+0	0.000E+0	9.731E-2
-1.300E+2	1.200E+0	0.000E+0	9.516E-2
-1.300E+2	1.300E+0	0.000E+0	8.726E-2
-1.300E+2	1.400E+0	0.000E+0	8.020E-2
-1.300E+2	1.500E+0	0.000E+0	7.326E-2
-1.300E+2	1.600E+0	0.000E+0	6.476E-2
-1.300E+2	1.700E+0	0.000E+0	5.634E-2
-1.300E+2	1.800E+0	0.000E+0	5.538E-2
-1.300E+2	1.900E+0	0.000E+0	5.894E-2
-1.300E+2	2.000E+0	0.000E+0	6.049E-2
-1.300E+2	2.100E+0	0.000E+0	5.885E-2
-1.300E+2	2.200E+0	0.000E+0	5.640E-2
-1.300E+2	2.300E+0	0.000E+0	5.455E-2
-1.300E+2	2.400E+0	0.000E+0	5.078E-2
-1.300E+2	2.500E+0	0.000E+0	4.392E-2
